symbol,strategy,side,qty,entry,exit,entry_px,exit_px,pnl,ccy,hold
XMRUSDT-PERP,EMACrossStop&Reverse-001,LONG,0.017,26-06-2026 17:05,26-06-2026 17:23,308.99,309.48,0.003073,USDT,18m 0s
BSVUSDT-PERP,EMACrossStop&Reverse-001,LONG,3.8,26-06-2026 17:05,26-06-2026 17:21,10.79,10.77078947,-0.1139655,USDT,16m 3s
MONUSDT-PERP,EMACrossStop&Reverse-001,LONG,44,26-06-2026 17:20,26-06-2026 17:21,0.01872,0.01868,-0.0025828,USDT,1m 3s
IOTAUSDT-PERP,EMACrossStop&Reverse-001,SHORT,3450.9,26-06-2026 17:16,26-06-2026 17:20,0.03737,0.03741,-0.26706515,USDT,4m 1s
1000LUNCUSDT-PERP,EMACrossStop&Reverse-001,LONG,1335,26-06-2026 16:49,26-06-2026 17:19,0.06354,0.063757865,0.20587867,USDT,29m 59s
LINKUSDT-PERP,EMACrossStop&Reverse-001,LONG,3.36,26-06-2026 17:06,26-06-2026 17:15,7.16,7.15,-0.0576408,USDT,9m 0s
1000SHIBUSDT-PERP,EMACrossStop&Reverse-001,LONG,480885,26-06-2026 17:06,26-06-2026 17:15,0.00416,0.004156,-3.92305983,USDT,8m 56s
CAKEUSDT-PERP,EMACrossStop&Reverse-001,LONG,4,26-06-2026 17:06,26-06-2026 17:14,1.3307,1.3282,-0.0153178,USDT,8m 0s
KITEUSDT-PERP,EMACrossStop&Reverse-001,LONG,2,26-06-2026 17:06,26-06-2026 17:10,0.14403,0.14386,-0.00062789,USDT,4m 0s
STXUSDT-PERP,EMACrossStop&Reverse-001,SHORT,34,26-06-2026 16:44,26-06-2026 17:07,0.1648,0.1644,0.0080036,USDT,23m 0s
BCHUSDT-PERP,EMACrossStop&Reverse-001,SHORT,0.181,26-06-2026 16:47,26-06-2026 17:06,193.71,193.62,-0.01876336,USDT,18m 59s
1000FLOKIUSDT-PERP,EMACrossStop&Reverse-001,SHORT,238,26-06-2026 16:46,26-06-2026 17:05,0.02183,0.02183,-0.00519554,USDT,18m 59s
1000PEPEUSDT-PERP,EMACrossStop&Reverse-001,SHORT,2753,26-06-2026 16:29,26-06-2026 17:05,0.0023259,0.002328308,-0.01303632,USDT,36m 0s
BEATUSDT-PERP,EMACrossStop&Reverse-001,SHORT,52,26-06-2026 16:47,26-06-2026 17:05,2.446,2.434,0.49712,USDT,17m 59s
BTCUSDT-PERP,EMACrossStop&Reverse-001,SHORT,0.034,26-06-2026 16:47,26-06-2026 17:05,59390,59444.32353,-3.8671835,USDT,17m 59s
ONDOUSDT-PERP,EMACrossStop&Reverse-001,SHORT,22.7,26-06-2026 16:29,26-06-2026 17:04,0.3073,0.308082819,-0.0247546,USDT,34m 59s
STRKUSDT-PERP,EMACrossStop&Reverse-001,SHORT,1556.8,26-06-2026 16:39,26-06-2026 17:04,0.02891,0.02891,-0.04500708,USDT,24m 59s
VETUSDT-PERP,EMACrossStop&Reverse-001,SHORT,28,26-06-2026 16:40,26-06-2026 17:04,0.004456,0.004456,-0.00012476,USDT,23m 58s
INJUSDT-PERP,EMACrossStop&Reverse-001,LONG,3.2,26-06-2026 16:50,26-06-2026 16:51,4.536,4.52,-0.0656896,USDT,1m 0s
AAVEUSDT-PERP,EMACrossStop&Reverse-001,SHORT,0.2,26-06-2026 16:46,26-06-2026 16:49,84.65,85.04,-0.094969,USDT,3m 0s
AXSUSDT-PERP,EMACrossStop&Reverse-001,LONG,2008,26-06-2026 16:33,26-06-2026 16:48,0.996,0.995,-4.006964,USDT,15m 0s
ADAUSDT-PERP,EMACrossStop&Reverse-001,LONG,26,26-06-2026 16:31,26-06-2026 16:46,0.1437,0.1438,-0.0011375,USDT,15m 0s
DOTUSDT-PERP,EMACrossStop&Reverse-001,LONG,9.2,26-06-2026 16:34,26-06-2026 16:46,0.833,0.829,-0.0444452,USDT,12m 0s
ENSUSDT-PERP,EMACrossStop&Reverse-001,LONG,1.6,26-06-2026 16:33,26-06-2026 16:46,4.042,4.041,-0.0080664,USDT,13m 0s
PENGUUSDT-PERP,EMACrossStop&Reverse-001,LONG,1211,26-06-2026 16:32,26-06-2026 16:46,0.005869,0.005862,-0.01558012,USDT,14m 2s
TAOUSDT-PERP,EMACrossStop&Reverse-001,LONG,0.005,26-06-2026 16:30,26-06-2026 16:46,209.63,209.55,-0.00144795,USDT,16m 0s
XTZUSDT-PERP,EMACrossStop&Reverse-001,LONG,317.5,26-06-2026 16:34,26-06-2026 16:46,0.2118,0.2111,-0.28938537,USDT,12m 0s
NEARUSDT-PERP,EMACrossStop&Reverse-001,SHORT,11,26-06-2026 16:29,26-06-2026 16:45,1.795,1.8,-0.0747725,USDT,16m 0s
CFXUSDT-PERP,EMACrossStop&Reverse-001,SHORT,264,26-06-2026 16:41,26-06-2026 16:43,0.04269,0.04279,-0.03768336,USDT,2m 4s
GWEIUSDT-PERP,EMACrossStop&Reverse-001,LONG,46,26-06-2026 16:35,26-06-2026 16:43,0.1274,0.1271,-0.0196535,USDT,7m 59s
KASUSDT-PERP,EMACrossStop&Reverse-001,LONG,897,26-06-2026 16:33,26-06-2026 16:41,0.02723,0.02721,-0.04235635,USDT,8m 0s
TRXUSDT-PERP,EMACrossStop&Reverse-001,SHORT,21,26-06-2026 16:29,26-06-2026 16:38,0.32191,0.32206,-0.00991169,USDT,9m 0s
XPLUSDT-PERP,EMACrossStop&Reverse-001,SHORT,71,26-06-2026 16:28,26-06-2026 16:34,0.1014,0.10204,-0.05266212,USDT,6m 0s
HBARUSDT-PERP,EMACrossStop&Reverse-001,SHORT,198,26-06-2026 16:28,26-06-2026 16:33,0.07281,0.07285,-0.02234034,USDT,4m 59s
JTOUSDT-PERP,EMACrossStop&Reverse-001,LONG,2,26-06-2026 16:32,26-06-2026 16:33,0.7531,0.7513,-0.0051044,USDT,1m 1s
TRUMPUSDT-PERP,EMACrossStop&Reverse-001,SHORT,3.56,26-06-2026 16:29,26-06-2026 16:32,1.675,1.68,-0.0237719,USDT,3m 0s
